"councildis","p_sell","p_demolish","error","variance"
"A",0.758294816685357,0.241705183314643,0.131879968356662,0.0714906792380829
"B",0.690816311457883,0.309183688542117,0.13793156533017,0.0840552176026501
"C",0.708198999676988,0.291801000323012,0.14318888895016,0.073463809951806
"D",0.750093584813438,0.249906415186562,0.135649174966687,0.076890110861949
"E",0.782368454426414,0.217631545573586,0.110929730556723,0.0551946850167177
NA,0.990018208833109,0.00998179116689087,0.00998179116689087,0.000110685205168357
