ObjectID,Program,CaseID,Full_Address,Match_Address,GEOPIN,Units,Demolition_Start,Demolition_Complete,Location 1
108,FEMA,FEMA-0474,3300 Clouet Street,3300 CLOUET ST,41090804,1,02/27/2012 12:00:00 AM,02/28/2012 12:00:00 AM,"(29.99153767050, -90.03724058330)"
20,SDER (NOSD),DRCES10C002-00293,2412 Lavender Street,2412 LAVENDER ST,41077083,1,02/29/2012 12:00:00 AM,03/08/2012 12:00:00 AM,"(29.99730548430, -90.05280754280)"
103,FEMA,FEMA-0423,3416 Clouet Street,3416 CLOUET ST,41090813,1,03/08/2012 12:00:00 AM,03/08/2012 12:00:00 AM,"(29.99289605440, -90.03683330890)"
102,FEMA,FEMA-0393,2742 Edge Street,2742 EDGE ST,41090944,1,03/08/2012 12:00:00 AM,03/09/2012 12:00:00 AM,"(29.99251228640, -90.04630997320)"
53,FEMA,FEMA-0060,2735 Jonquil Street,2735 JONQUIL ST,41110681,1,03/22/2012 12:00:00 AM,03/24/2012 12:00:00 AM,"(29.99891382150, -90.04678255670)"
52,FEMA,FEMA-0059,2620 Myrtle Street,2620 MYRTLE ST,41109611,1,03/21/2012 12:00:00 AM,03/21/2012 12:00:00 AM,"(29.99511375350, -90.04909364520)"
2720,NORA,ORL034837,2424 GLADIOLUS STREET,2424 GLADIOLUS ST,41076590,0,04/10/2012 12:00:00 AM,05/01/2012 12:00:00 AM,"(29.99882512490, -90.05388938170)"
2826,NORA,ORL102133,2308 SERE STREET,2308 SERE ST,41074998,0,04/18/2012 12:00:00 AM,05/01/2012 12:00:00 AM,"(29.99493377450, -90.05600686990)"
2408,FEMA,FEMA-0386,3110 Music Street,3110 MUSIC ST,41078668,1,04/19/2012 12:00:00 AM,04/19/2012 12:00:00 AM,"(29.99049053640, -90.05297744230)"
2691,NORA,ORL011354,2734 ACACIA STREET,2734 ACACIA ST,41110363,0,04/24/2012 12:00:00 AM,05/18/2012 12:00:00 AM,"(29.99609133880, -90.04655586490)"
44,SDER (NOSD),DRCES10C002-00324,3239-41 Metropolitan Street,3239 METROPOLITAN ST,41091407,2,07/19/2012 12:00:00 AM,07/25/2012 12:00:00 AM,"(29.99088710900, -90.03603461140)"
2745,NORA,ORL063931,2665-2667 ACACIA STREET,2665 ACACIA ST,41110345,0,09/11/2012 12:00:00 AM,10/11/2012 12:00:00 AM,"(29.99643650350, -90.04807064790)"
2810,NORA,ORL080203,3201 PIETY STREET,3201 PIETY ST,41090675,0,09/25/2012 12:00:00 AM,12/06/2012 12:00:00 AM,"(29.98980034220, -90.03446301760)"
2546,IDC,,3334-36 MONTEGUT STREET,3334 MONTEGUT ST,41128816,2,10/06/2012 12:00:00 AM,10/08/2012 12:00:00 AM,"(29.99265399180, -90.03878265710)"
2740,NORA,ORL061177,2654 JONQUIL STREET,2654 JONQUIL ST,41111349,0,10/25/2012 12:00:00 AM,02/01/2013 12:00:00 AM,"(29.99835639110, -90.04845406040)"
2766,NORA,ORL134680,2520 ACACIA STREET,2520 ACACIA ST,41077337,0,11/19/2012 12:00:00 AM,02/01/2013 12:00:00 AM,"(29.99579009650, -90.05130596490)"
2778,NORA,ORL178770,2514 ELDER STREET,2514 ELDER ST,41077334,0,11/20/2012 12:00:00 AM,02/01/2013 12:00:00 AM,"(29.99419743920, -90.05114620490)"
2836,NORA,ORL114253,2623 ELDER STREET,2623 ELDER ST,41110311,0,11/27/2012 12:00:00 AM,01/08/2013 12:00:00 AM,"(29.99477393340, -90.04907089290)"
2787,NORA,ORL202599,3420 CLERMONT DRIVE,3420 CLERMONT DR,41079112,0,12/19/2012 12:00:00 AM,03/15/2013 12:00:00 AM,"(29.99308919050, -90.05317127580)"
2666,IDC,,3110 ART STREET,3110 ARTS ST,41078688,1,03/08/2013 12:00:00 AM,03/10/2013 12:00:00 AM,"(29.99050703990, -90.05182734210)"
2667,IDC,,3130 ART STREET,3130 ARTS ST,41078685,1,03/09/2013 12:00:00 AM,03/10/2013 12:00:00 AM,"(29.99096272220, -90.05186484760)"
2657,IDC,,3104 SAINT ROCH AVENUE,3104 ST ROCH AVE,41078654,1,05/30/2013 12:00:00 AM,05/30/2013 12:00:00 AM,"(29.99022265410, -90.05419987610)"
2658,IDC,,2722 TREASURE STREET,2722 TREASURE ST,41091503,1,06/03/2013 12:00:00 AM,06/04/2013 12:00:00 AM,"(29.99040537090, -90.04642161890)"
2947,NOSD,DRCES10C002-00402,2762 Sage Street,2762 SAGE ST,41091869,1,06/14/2013 12:00:00 AM,06/24/2013 12:00:00 AM,"(29.99373250500, -90.04583050690)"
2982,NOSD,DRCES10C002-00437,3437 Saint Anthony Street,3437 ST ANTHONY AVE,41078853,0,07/22/2013 12:00:00 AM,08/05/2013 12:00:00 AM,"(29.99337657480, -90.06323430410)"
2958,NOSD,DRCES10C002-00413,3103 Music Street,3103 MUSIC ST,41078680,0,07/25/2013 12:00:00 AM,08/05/2013 12:00:00 AM,"(29.99031649620, -90.05246550350)"
2980,NOSD,DRCES10C002-00435,3238 Piety Street,3238 PIETY ST,41090685,0,07/29/2013 12:00:00 AM,08/01/2013 12:00:00 AM,"(29.99060696500, -90.03470982730)"
3024,IDC,,3500 LOUSIA STREET,3500 LOUISA ST,41091360,1,07/29/2013 12:00:00 AM,07/31/2013 12:00:00 AM,"(29.99321952030, -90.03486798870)"
3036,NOSD,DRCES10C002-00467,2688 Jonquil Street,2688 JONQUIL ST,41110679,0,08/20/2013 12:00:00 AM,08/28/2013 12:00:00 AM,"(29.99839726050, -90.04773868250)"
7,IDC,,2428 GLADIOLUS STREET,2428 GLADIOLUS ST,41076591,1,04/24/2014 12:00:00 AM,04/25/2014 12:00:00 AM,"(29.99884452, -90.05375571)"
5,NORA,ORL138342,3227 Metropolitan Street,3227 METROPOLITAN ST,41090521,1,02/17/2014 12:00:00 AM,03/20/2014 12:00:00 AM,"(29.990667849, -90.036053475)"
